artist_id,artist_albums,artist_fans
1,33,3372231
2,11,913876
3,90,5553951
4,47,21048
5,13,50982
131073,56,1337
7,45,566641
8,28,672935
9,17,563581
10,39,542242
11,88,3951565
262155,31,2678
13,34,10720765
14,35,1250801
15,21,401239
16,22,598307
17,52,5304308
131090,74,1401
19,55,2702
20,10,25633
21,48,683864
22,5,9225
393240,9,1134
25,17,18681
26,14,585907
27,29,3466753
28,8,94279
29,26,390325
30,25,126539
31,0,442
32,0,940
131105,47,4726
34,87,446765
35,51,4061314
36,19,36915
8388644,1,3
38,57,3616451
39,16,24245
40,54,12722
41,44,3950
42,18,2481
43,15,2348
44,32,140912
45,74,4259486
4063278,9,2330
47,58,240858
48,45,344861
49,20,111824
8912938,3,1079
51,19,37787
52,43,3215525
262197,17,27946
5898294,30,14127
4063283,6,4523
9306168,1,24
393270,6,215
58,3,149
59,14,26011
60,7,10527
61,4,15133
393277,2,326
63,21,70232
55,6,1560
65,80,1902715
66,61,5188524
67,61,1332071
68,72,2267302
69,7,22812
70,40,818849
71,7,1134
72,6,69514
73,37,601025
74,33,188622
75,11,16599
76,69,1022092
393284,2,918
78,27,1619617
79,18,471742
131143,24,11793
81,53,1121528
82,10,6248
83,21,201894
84,35,137169
85,47,1301343
4063314,1,596
87,28,1031819
88,67,2488731
89,32,1142913
8126553,0,0
91,21,514736
92,46,7205687
93,14,1017786
131166,28,31
262239,5,28
131165,16,1541
97,16,541
98,7,2205420
99,40,140065
524388,1,420
1179749,1,28
102,82,6106784
103,14,2763517
104,38,2863772
105,52,818348
106,47,1549994
107,20,157307
108,48,154443
109,1,8361
110,17,154780
111,10,733054
112,44,1108420
113,10,948169
114,41,57153
115,44,4367556
116,52,2403208
117,13,2110270
118,12,28880
119,21,3470794
393335,17,3289
121,34,171564
120,21,112724
123,21,106531
124,29,13178
4456572,9,5458
393342,14,2880
262271,59,1561488
128,34,195738
129,65,1556964
126,13,10874
130,5,3861
132,20,3820
133,52,760702
134,1,5091
393349,26,2987
135,27,41934
131209,0,10
138,18,224923
139,31,13741
140,35,111116
393353,10,1455
655502,2,806
143,27,301798
137,10,2017
145,65,8139327
144,79,79274
147,56,218979
148,21,3684
149,24,9631
7995536,7,45313
142,14,1794
152,40,902887
153,28,76689
154,21,38684
1179801,1,634
156,51,79797
157,62,1552607
393373,16,22593
4456604,1,1954
160,35,7267311
524448,89,2549
162,7,7373
163,49,3722508
164,21,10336
165,54,650831
166,286,1218247
167,19,3126
168,27,33867
169,67,671164
170,42,751325
171,19,5503
172,24,59110
173,39,156674
174,53,2217971
131245,96,1361
175,28,373635
177,30,385093
176,17,564557
131249,11,11
180,21,1443418
181,31,197630
182,41,4533065
183,13,266988
184,48,429074
185,48,1053647
186,25,1239216
131259,12,103208
188,69,100287
189,40,1089656
2490551,2,177
191,15,113465
192,76,1523466
193,13,8158
194,8,42351
187,0,17
196,20,807828
197,14,8566
198,63,1583958
199,42,31608
